	total count	max temp	mean temp	min temp	snow on grnd (cm)	total precip (mm)	total rain (mm)	total snow (cm)	class	day	month	year
20731	51	-10.0	-13.8	-17.5	14.0	0.0	0.0	0.0	less than 2000	28	11	2013
3074	94	8.6	6.1	3.5	0.0	1.5	1.5	0.0	less than 2000	19	4	2018
2074	635	6.8	4.9	3.0	0.0	0.0	0.0	0.0	less than 2000	9	2	2016
22743	206	5.5	2.3	-1.0	0.0	0.0	0.0	0.0	less than 2000	7	6	2010
14262	49	-3.8	-13.7	-23.5	34.0	0.0	0.0	0.0	less than 2000	1	9	2010
10172	231	1.6	-0.5	-2.6	0.0	1.2	0.0	1.2	less than 2000	14	12	2015
20406	496	3.5	1.8	0.0	0.0	0.0	0.0	0.0	less than 2000	19	2	2016
20526	10	-10.5	-12.5	-14.5	14.0	0.0	0.0	0.0	less than 2000	20	8	2017
19498	2656	24.0	19.8	15.5	0.0	0.0	0.0	0.0	2000 to 10000	20	9	2013
6258	1474	28.0	20.3	12.5	0.0	0.0	0.0	0.0	less than 2000	26	6	2010
10892	61	-7.6	-14.8	-22.0	29.0	0.8	0.0	1.0	less than 2000	7	1	2018
22318	1248	21.0	17.0	13.0	0.0	0.0	0.0	0.0	less than 2000	31	12	2010
20720	8	3.0	-2.0	-7.0	18.0	6.4	1.0	5.0	less than 2000	27	4	2018
7436	40	-3.1	-4.1	-5.1	20.0	9.0	0.0	11.5	less than 2000	7	7	2012
15968	1218	24.5	20.3	16.0	0.0	0.0	0.0	0.0	less than 2000	28	8	2015
17305	1980	2.0	0.0	-2.0	26.0	0.0	0.0	0.0	less than 2000	26	6	2015
17179	460	6.0	0.0	-6.0	32.0	3.2	3.2	0.0	less than 2000	16	8	2013
12836	1742	15.0	12.7	10.4	0.0	0.0	0.0	0.0	less than 2000	21	8	2010
13799	0	-3.1	-6.2	-9.3	9.0	2.5	0.0	2.0	less than 2000	29	2	2016
22575	1492								less than 2000	17	6	2017
15630	1233	28.5	23.0	17.5	0.0	0.6	0.6	0.0	less than 2000	25	9	2013
2844	42	4.8	-0.5	-5.8	28.0	3.1	3.1	0.0	less than 2000	25	8	2018
10165	558	2.0	-2.0	-6.0	0.0	0.0	0.0	0.0	less than 2000	8	9	2013
20442	1017	1.0	-0.5	-2.0	0.0	0.0	0.0	0.0	less than 2000	20	2	2017
8411	144	15.7	10.1	4.5	0.0	0.0	0.0	0.0	less than 2000	20	7	2018
7573	13	-14.0	-16.0	-17.9	29.0	0.0	0.0	0.0	less than 2000	1	4	2015
8179	85	7.3	4.2	1.0	34.0	0.0	0.0	0.0	less than 2000	8	2	2018
13580	261	9.3	5.7	2.1	0.0	5.5	5.5	0.0	less than 2000	25	9	2012
1258	1459	17.7	13.4	9.0	0.0	8.0	8.0	0.0	less than 2000	27	3	2016
21606	956	27.5	21.8	16.0	0.0	4.8	4.8	0.0	less than 2000	18	4	2014
4964	89	-3.4	-4.3	-5.2	32.0	1.3	0.0	4.0	less than 2000	11	1	2017
12262	570	32.8	25.0	17.2	0.0	0.0	0.0	0.0	less than 2000	22	12	2015
190	323	7.0	4.3	1.5	0.0	0.0	0.0	0.0	less than 2000	20	10	2016
8161	0	4.4	1.2	-2.1	45.0	0.0	0.0	0.0	less than 2000	23	11	2017
1429	0	30.0	24.0	18.0	0.0	0.0	0.0	0.0	less than 2000	27	12	2011
12682	1869	19.3	16.0	12.7	0.0	16.7	16.7	0.0	less than 2000	31	7	2017
12850	1235	12.5	8.1	3.7	0.0	0.0	0.0	0.0	less than 2000	29	7	2016
5318	408	11.6	6.8	2.0	0.0	0.0	0.0	0.0	less than 2000	22	7	2013
21323	91	3.0	1.8	0.5	0.0	1.0	1.0	0.0	less than 2000	24	2	2017
20109	881	19.5	17.0	14.5	0.0	3.0	3.0	0.0	less than 2000	29	10	2016
18058	4	-1.0	-6.5	-12.0	17.0	0.8	0.0	0.4	less than 2000	2	12	2010
13265	520	14.5	6.2	-2.2	0.0	0.0	0.0	0.0	less than 2000	6	9	2015
13118	112	12.1	10.0	7.8	0.0	0.3	0.3	0.0	less than 2000	20	3	2017
10835	7	-4.5	-8.4	-12.3	25.0	0.0	0.0	0.0	less than 2000	7	1	2010
21326	27	3.0	1.8	0.5	0.0	1.0	1.0	0.0	less than 2000	20	9	2015
11427	702	7.2	3.8	0.4	0.0	0.0	0.0	0.0	less than 2000	4	4	2016
14407	150	0.1	-4.9	-9.8	0.0	0.0	0.0	0.0	less than 2000	9	2	2014
5189	148	8.0	4.7	1.4	31.0	0.0	0.0	0.0	less than 2000	29	3	2010
22182	2298	28.5	21.5	14.5	0.0	0.0	0.0	0.0	2000 to 10000	8	2	2016
3328	2177	29.1	23.3	17.4	0.0	3.1	3.1	0.0	2000 to 10000	5	3	2010
5689	2429	24.0	19.1	14.1	0.0	0.0	0.0	0.0	2000 to 10000	28	7	2012
14452	137	3.0	0.8	-1.5	3.0	0.2	0.0	0.2	less than 2000	20	11	2013
20590	100	-20.0	-22.0	-24.0	29.0	0.0	0.0	0.0	less than 2000	23	9	2017
